fraser_annings_conservative_national_party_ordinary_votes, socialist_alliance_ordinary_votes, labor_ordinary_votes, latitude, longitude,post_code, polling_place_name, state, division_name, australian_democrats_ordinary_votes, non_affiliated_candidates_ordinary_votes, the_greens_ordinary_votes, national_party_ordinary_votes, australian_progressives_ordinary_votes, christian_democratic_party_fred_nile_group_ordinary_votes, centre_alliance_ordinary_votes, australian_workers_party_ordinary_votes, western_australia_party_ordinary_votes, division_id, liberal_democrats_ordinary_votes, liberal_ordinary_votes, the_nationals_ordinary_votes, australia_first_party_ordinary_votes, polling_place_id, united_australia_party_ordinary_votes, informal_ordinary_votes, katters_australian_party_kap_ordinary_votes, polling_place_type_id, socialist_equality_party_ordinary_votes
null,null,null,-37.817562,145.0026391,3121,Citizens Park,VIC,Melbourne,null,null,null,null,null,null,null,null,null,228,null,337,null,null,83674,10,26,null,1,null
null,null,null,-34.9808871,138.5915167,5041,Colonel Light Gardens ADELAIDE PPVC,SA,Adelaide,31,null,255,null,null,null,null,null,null,179,null,746,null,null,83760,45,46,null,5,null
null,null,null,-31.9539369,115.8659085,2605,Special Hospital Team 6,WA,Perth,null,null,null,null,null,null,null,null,1,245,null,2,null,null,83801,0,0,null,2,null
null,null,null,-31.9539369,115.8659085,2602,Special Hospital Team 7,WA,Perth,null,null,null,null,null,null,null,null,0,245,null,0,null,null,83802,0,0,null,2,null
null,null,286,-33.909333,151.1889335,2015,Alexandria South,NSW,Sydney,null,null,112,null,null,1,null,null,null,149,null,90,null,null,83843,7,16,null,1,null
null,null,99,-33.8810845,151.218664,2010,Darlinghurst South (Sydney),NSW,Sydney,null,null,45,null,null,3,null,null,null,149,null,40,null,null,83845,2,4,null,1,null
null,null,null,-35.2442802,149.0884075,2617,Bruce (Canberra),ACT,Canberra,null,null,287,null,30,null,null,null,null,101,null,296,null,null,83849,9,22,null,1,null
null,null,null,-35.2487237,149.1541276,2602,Dickson East,ACT,Canberra,null,null,331,null,17,null,null,null,null,101,null,145,null,null,83852,15,4,null,1,null
null,null,null,-35.2524845,149.1307017,2602,Lyneham East,ACT,Canberra,null,null,273,null,17,null,null,null,null,101,null,138,null,null,83856,19,14,null,1,null
null,null,315,-33.8834633,151.1575195,2040,Leichhardt SYDNEY PPVC,NSW,Sydney,null,null,77,null,null,5,null,null,null,149,null,151,null,null,83883,10,21,null,5,null
null,null,null,-31.9014924,115.901248,6062,Morley PERTH PPVC,WA,Perth,null,null,null,null,null,null,null,null,233,245,null,4197,null,null,83966,227,465,null,5,null
null,null,null,-37.782,144.933,3031,Flemington (Melbourne),VIC,Melbourne,null,null,null,null,null,null,null,null,null,228,null,11,null,null,93179,0,6,null,1,null
null,null,null,-37.7794,144.919,3032,Ascot Vale (Melbourne),VIC,Melbourne,null,null,null,null,null,null,null,null,null,228,null,1,null,null,93180,1,3,null,1,null
