tweetText,tweetCreated,userLocation,Coordinates,TweetPlace
Perhaps the Minister for the Homeless @MichaelSukkarMP could pass on his thoughts on this crisis? Or will he ignore… https://t.co/5IAlUBEAq2,2021-04-28 21:24:28,Melbourne,[152.9400645  -26.86268148],"Beerwah, Queensland"
"Another stop on the almost pointless tour by @MichaelSukkarMP just photo ops like #ScottyFromMarketing 
No words on… https://t.co/TOqfSb46XX",2021-04-28 05:04:42,Melbourne,[152.9400645  -26.86268148],"Beerwah, Queensland"
"@LadyPoop2 @EddyJokovich @DocWSJames @CroweDM Pretty sure #ScottyFromMarketing serves:
- Scotty
- Rupert
- Gina
- Clive
- Twiggy",2021-04-28 00:30:52,"New South Wales, Davistown",[151.44249824 -33.34664699],"Central Coast, New South Wales"
"But can't the responsibility for quarantine 

#ScottyFromMarketing 
#ScottyDoesNothing https://t.co/BIzwL1wWfn",2021-04-27 15:09:20,Australia,[150.9319748 -33.848244 ],"Sydney, New South Wales"
@lubiephil I thought that they upgraded Christmas Island so #ScottyFromMarketing could go there for a Press Conference ❗️🐀,2021-04-27 06:31:55,Woiworung Country. Melbourne,[145.05313534 -37.97256651],"Melbourne, Victoria"
"@MrDenmore @cvr8 Greed. 

Morrison’s “Prosperity Gospel” is nothing more than the “conservatives’” religious mask a… https://t.co/KUBZS4e1SU",2021-04-26 23:54:58,"Mudjimba, Qld, Australia",[153.07415686 -26.6064825 ],"Sunshine Coast, Queensland"
@chaser How is god and #ScottyFromMarketing to blame? Both are non-interventionist “leaders”,2021-04-26 21:29:38,"Melbourne, Australia",[145.05313534 -37.97256651],"Melbourne, Victoria"
@TroyPSimpson @RichForrest2 And to whom did #ScottyFromMarketing aka #theliarfromtheshire grant the $4m grace and f… https://t.co/BJEskt5ZEG,2021-04-26 08:22:22,"New South Wales, Australia",[150.9319748 -33.848244 ],"Sydney, New South Wales"
"#ScottyFromMarketing #ScottyFromCoverups #scottymustgo #MurdochGutterMedia #MurdochRoyalCommission
Alan Kohler: Sco… https://t.co/K2ihPLF4H2",2021-04-26 02:24:11,"Adelaide, South Australia",[138.61115987 -35.00076706],"Adelaide, South Australia"
@AncientAliens @Tsoukalos should make an episode of #COVID19 that the Virus could have an #Alien Origin.,2021-05-03 03:12:32,Sydney Australia,[150.9319748 -33.848244 ],"Sydney, New South Wales"
I still think there is a massive Cover Up for #COVID19 that the virus is an #Alien #Plague that came from Out of Sp… https://t.co/QaI4hBPQpj,2021-05-03 03:11:24,Sydney Australia,[150.9319748 -33.848244 ],"Sydney, New South Wales"
To be clear the AZ vaccine is safe and effective for #COVID19 and everyone eligible to be vaccinated should be vaccinated!!,2021-05-03 02:38:56,"Geelong, Victoria",[145.05313534 -37.97256651],"Melbourne, Victoria"
@EVERALDATLARGE @GlenMur21242567 Hypothetically if the 9000 Indian Australians trapped in India became seriously il… https://t.co/DjtWKbtPph,2021-05-03 01:15:33,Woiworung Country. Melbourne,[145.05313534 -37.97256651],"Melbourne, Victoria"
"Australians Maybe #jailed if they fly home from #india.
#Covid19 #IndiaCovidCrisis #coronavirus https://t.co/Dqaa2hM6xz",2021-05-02 07:54:40,"Perth, Western Australia",[115.92831869 -32.15010042],"Perth, Western Australia"
"Housemates of security guard worked as food delivery drivers (of course they did). No crowds at Derby, no nightclub… https://t.co/VCGMIBXe9R",2021-05-02 02:43:48,"Perth, Western Australia",[115.92831869 -32.15010042],"Perth, Western Australia"
@NSWHealth Why are we forced to travel on buses risking more people to nearest hospital if we do not have a car. I… https://t.co/zy0lBAEbNT,2021-05-02 02:18:06,bondi or venice beach,[150.9319748 -33.848244 ],"Sydney, New South Wales"
Digital #covid19 passport gets the go ahead. #travel #tourism #health #Europe https://t.co/vTe5t3T3sG https://t.co/shqbdVESTr,2021-05-02 00:54:21,"Cygnet, Tasmania",[147.07951717 -43.16008625],"Cygnet, Tasmania"
